Rank,State,"GDP
(tril. ₦)","GDP
(bil. US$)"
1,Lagos,₦61.17,100.01
2,Rivers,₦7.96,19.72
3,Akwa Ibom,₦7.77,19.25
4,Imo,₦7.68,19.02
5,Delta,₦6.35,15.33
6,Anambra,₦5.14,12.73
7,Ondo,₦5.10,12.63
8,Ogun,₦5.03,12.46
9,Bayelsa,₦4.63,11.47
10,Niger,₦4.58,11.34
11,Kaduna,₦4.31,10.67
12,Benue,₦4.27,10.58
13,Kano,₦4.20,10.4
14,Cross River,₦4.07,10.08
15,Edo,₦3.99,9.88
16,Kogi,₦3.69,9.14
17,Oyo,₦3.68,9.11
18,Abia,₦3.53,8.74
19,Katsina,₦3.32,8.22
20,Sokoto,₦2.85,7.06
21,Adamawa,₦2.66,6.59
22,Bauchi,₦2.63,6.51
23,Ekiti,₦2.35,5.82
24,Osun,₦2.30,5.69
25,Ebonyi,₦2.24,5.55
26,Jigawa,₦2.16,5.35
27,Gombe,₦2.10,5.2
28,Taraba,₦2.04,5.05
29,Borno,₦1.96,4.85
30,Nasarawa,₦1.86,4.6
31,Kebbi,₦1.80,4.46
32,Zamfara,₦1.73,4.28
33,Plateau,₦1.50,3.71
34,Enugu,₦1.45,3.54
35,Kwara,₦1.38,3.41
36,Yobe,₦1.09,2.7
